코드,과목,원,천원,백만원,억원,비고
600,사업수익(총계),"22,641,500,000","22,641,500","22,641.500",226.4150,
610,영업수익,"6,145,500,000","6,145,500","6,145.500",61.4550,
646-01,국비보조금수익,"4,950,000,000","4,950,000","4,950.000",49.5000,
646-02,자치단체보조금수익,"1,195,500,000","1,195,500","1,195.500",11.9550,도비/시군비 보조분
648-02,자치단체출연금수익,"16,496,000,000","16,496,000","16,496.000",164.9600,
,  - 도비 출연,"12,956,000,000","12,956,000","12,956.000",129.5600,
,  - 시군 출연,"3,540,000,000","3,540,000","3,540.000",35.4000,
670,영업외수익(기본 0),0,0,0.000,0.0000,
671-01,예금이자수익(기본 0),0,0,0.000,0.0000,
