레벨,과목,현재예산(원),기정예산(원),증감(원),현재예산(천원),기정예산(천원),증감(천원),산출기초
0,(재) 충남콘텐츠진흥원,"22,641,500,000",0,"22,641,500,000","22,641,500",0,"22,641,500",
1,  600 사업수익,"22,641,500,000",0,"22,641,500,000","22,641,500",0,"22,641,500",
2,    610 영업수익,"22,641,500,000",0,"22,641,500,000","22,641,500",0,"22,641,500",
3,      646 보조금수익,"6,145,500,000",0,"6,145,500,000","6,145,500",0,"6,145,500",
4,        646-01 국비보조금수익,"4,950,000,000",0,"4,950,000,000","4,950,000",0,"4,950,000",
4,        646-02 자치단체보조금수익,"1,195,500,000",0,"1,195,500,000","1,195,500",0,"1,195,500",
3,      648 출연금수익,"16,496,000,000",0,"16,496,000,000","16,496,000",0,"16,496,000",
4,        648-02 자치단체출연금수익,"16,496,000,000",0,"16,496,000,000","16,496,000",0,"16,496,000",
